#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Yamaha A810 (RAV447) - 2nd ZONE,CHANNELUP,Received NEC: address=0x017F, command=0x235C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,CHANNELDOWN,Received NEC: address=0x017F, command=0x205F command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,TUNINGUP,Received NEC: address=0x017F, command=0x1D62 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,TUNINGDOWN,Received NEC: address=0x017F, command=0x1A65 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SLEEP,Received NEC: address=0x857A, command=0xCE31 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,PARTY,Received NEC: address=0x857A, command=0xCB34 command_repeats=1, same code on zone 2
Yamaha A810 (RAV447) - 2nd ZONE,SCENE_DVD,Received NEC: address=0x857A, command=0x7E01 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SCENE_TV,Received NEC: address=0x857A, command=0x7B04 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SCENE_CD,Received NEC: address=0x857A, command=0x7807 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SCENE_RADIO,Received NEC: address=0x857A, command=0x750A command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,UP,Received NEC: address=0x857A, command=0x542B command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,DOWN,Received NEC: address=0x857A, command=0x532C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,LEFT,Received NEC: address=0x857A, command=0x522D command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,RIGHT,Received NEC: address=0x857A, command=0x512E command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,ENTER,Received NEC: address=0x857A, command=0x502F command_repeats=1
